name,imp
item_id,97322
tm_w,20462
tm_d,20400
rolling_mean_180,19188
event_name_1,19050
rolling_mean_tmp_1_7,19001
rolling_mean_tmp_1_14,18561
rolling_std_180,18449
rolling_std_7,18077
rolling_std_60,18036
rolling_std_30,17918
rolling_std_14,17726
rolling_mean_tmp_14_14,16925
rolling_mean_tmp_7_14,16595
rolling_mean_tmp_7_7,16568
rolling_mean_tmp_14_7,16194
rolling_mean_60,15942
rolling_mean_tmp_1_30,14732
rolling_mean_14,14724
rolling_mean_30,14706
rolling_mean_tmp_14_30,13919
rolling_mean_tmp_7_30,13775
rolling_mean_7,13648
rolling_mean_tmp_14_60,13255
rolling_mean_tmp_1_60,12884
tm_dw,12449
rolling_mean_tmp_7_60,12246
price_momentum_m,11418
enc_item_id_store_id_std,10020
sales_lag_39,9566
sales_lag_42,9442
enc_item_id_store_id_mean,9309
sales_lag_41,9052
sales_lag_38,8972
sales_lag_36,8864
sales_lag_28,8854
sales_lag_37,8848
sales_lag_35,8797
sales_lag_32,8743
sales_lag_33,8659
sales_lag_40,8653
sales_lag_30,8574
sales_lag_31,8370
sales_lag_29,8241
sales_lag_34,8219
tm_m,8094
item_nunique,6631
sell_price,6380
price_std,6213
release,6034
tm_y,5874
price_min,4932
price_max,4838
price_mean,4590
price_momentum_y,4176
price_norm,3888
tm_wm,3306
snap_WI,2280
snap_TX,2263
tm_w_end,1590
price_nunique,1564
snap_CA,1438
enc_store_id_dept_id_mean,686
event_type_1,560
price_momentum,528
dept_id,491
enc_store_id_dept_id_std,282
event_type_2,9
event_name_2,0
