name,imp
item_id,128188
event_name_1,30410
tm_w,20579
tm_d,20496
rolling_mean_tmp_1_7,17600
rolling_std_7,16942
rolling_mean_180,16760
rolling_std_180,16560
rolling_std_60,15674
rolling_mean_tmp_7_7,15469
rolling_std_30,14728
rolling_std_14,14559
rolling_mean_tmp_1_14,14219
rolling_mean_60,13681
rolling_mean_tmp_14_7,13561
rolling_mean_tmp_14_14,13116
rolling_mean_tmp_7_14,13052
tm_dw,12115
rolling_mean_30,11458
rolling_mean_7,11297
rolling_mean_tmp_1_30,10844
rolling_mean_14,10604
sales_lag_42,10480
rolling_mean_tmp_14_60,10431
rolling_mean_tmp_14_30,10364
price_momentum_m,10169
sales_lag_35,10137
sales_lag_39,10089
rolling_mean_tmp_1_60,9982
rolling_mean_tmp_7_30,9968
sales_lag_41,9740
rolling_mean_tmp_7_60,9727
sales_lag_37,9726
enc_item_id_store_id_std,9611
sales_lag_40,9561
sales_lag_34,9453
sales_lag_38,9364
enc_item_id_store_id_mean,9279
sales_lag_36,9253
sales_lag_28,9151
sales_lag_32,9069
sales_lag_30,9064
sales_lag_29,9039
sales_lag_33,8994
sales_lag_31,8966
item_nunique,8440
tm_m,7930
release,7651
price_std,7321
price_min,6499
tm_y,6090
sell_price,6081
price_momentum_y,5758
price_mean,5591
price_max,5276
price_norm,4267
tm_wm,3508
price_nunique,2239
snap_TX,2069
snap_WI,2014
price_momentum,1883
tm_w_end,1661
snap_CA,1505
dept_id,1024
event_type_1,879
enc_store_id_dept_id_mean,528
enc_store_id_dept_id_std,222
event_name_2,21
event_type_2,14
