name,imp
item_id,122703
event_name_1,35658
tm_w,21203
tm_d,20566
rolling_mean_180,18627
rolling_std_180,17824
rolling_std_60,16846
rolling_std_7,16768
rolling_mean_tmp_1_7,15963
rolling_std_30,15575
rolling_std_14,15341
rolling_mean_60,14277
rolling_mean_tmp_7_7,14266
rolling_mean_tmp_1_14,14081
rolling_mean_tmp_14_14,13579
tm_dw,13554
rolling_mean_tmp_7_14,13242
price_momentum_m,12773
rolling_mean_tmp_14_7,12434
rolling_mean_30,12275
rolling_mean_tmp_1_30,12274
rolling_mean_tmp_14_60,11437
rolling_mean_tmp_14_30,11428
rolling_mean_tmp_7_30,11269
rolling_mean_tmp_1_60,11267
rolling_mean_14,10895
rolling_mean_tmp_7_60,10778
rolling_mean_7,10466
enc_item_id_store_id_std,10064
enc_item_id_store_id_mean,9283
item_nunique,9263
price_std,8590
tm_m,8346
sales_lag_42,8032
sales_lag_35,7954
sales_lag_39,7890
sales_lag_34,7774
sales_lag_28,7755
sales_lag_41,7738
sales_lag_40,7701
sales_lag_31,7508
sales_lag_37,7503
sales_lag_33,7430
price_norm,7380
sales_lag_36,7370
price_momentum_y,7353
sales_lag_38,7333
sales_lag_29,7243
sales_lag_30,7216
sales_lag_32,7190
sell_price,6886
price_max,6802
release,6787
price_mean,6694
price_min,6147
tm_y,5891
tm_wm,3509
price_nunique,3290
dept_id,2850
price_momentum,2032
snap_TX,2019
snap_WI,1965
tm_w_end,1659
snap_CA,1620
enc_store_id_dept_id_mean,1156
event_type_1,935
enc_store_id_dept_id_std,432
event_name_2,21
event_type_2,20
