name,imp
item_id,121651
event_name_1,34172
tm_w,19511
tm_d,19100
rolling_mean_tmp_1_7,16978
rolling_mean_180,16506
rolling_std_180,15932
rolling_std_7,15347
rolling_std_60,14967
rolling_mean_tmp_7_7,14778
rolling_mean_tmp_1_14,14056
price_momentum_m,13874
rolling_std_30,13691
rolling_std_14,13581
rolling_mean_tmp_7_14,13308
rolling_mean_60,13143
rolling_mean_tmp_14_14,13051
rolling_mean_tmp_14_7,13004
tm_dw,12552
rolling_mean_30,11587
rolling_mean_tmp_1_30,11310
rolling_mean_7,10679
rolling_mean_14,10639
rolling_mean_tmp_14_60,10534
rolling_mean_tmp_1_60,10468
price_momentum_y,10376
rolling_mean_tmp_7_30,10353
rolling_mean_tmp_14_30,10076
rolling_mean_tmp_7_60,9765
sales_lag_39,9354
sales_lag_42,9288
enc_item_id_store_id_std,9131
sales_lag_41,9050
item_nunique,8913
sales_lag_37,8836
sales_lag_34,8815
sales_lag_35,8811
sales_lag_28,8790
sales_lag_36,8751
sales_lag_40,8733
enc_item_id_store_id_mean,8698
sales_lag_38,8672
sales_lag_33,8606
sales_lag_32,8574
sales_lag_31,8527
sales_lag_30,8346
price_std,8346
sales_lag_29,8281
price_min,8040
price_norm,8029
sell_price,7488
tm_m,7423
price_mean,6844
price_max,6267
release,5578
tm_y,5490
price_momentum,5005
price_nunique,3904
tm_wm,3357
snap_TX,2879
dept_id,2694
snap_WI,1941
tm_w_end,1719
snap_CA,1343
enc_store_id_dept_id_mean,1037
event_type_1,825
enc_store_id_dept_id_std,552
event_name_2,53
event_type_2,21
