name,imp
item_id,97821
tm_d,22109
tm_w,21978
rolling_mean_180,21625
rolling_std_180,21462
rolling_std_60,20368
rolling_std_30,19268
event_name_1,18996
rolling_std_14,17912
rolling_mean_tmp_1_7,17739
rolling_mean_60,17440
rolling_mean_tmp_1_14,17378
rolling_std_7,16706
rolling_mean_tmp_14_14,15884
rolling_mean_tmp_7_14,15752
rolling_mean_tmp_1_30,15425
rolling_mean_30,15367
rolling_mean_tmp_7_7,14959
rolling_mean_tmp_14_30,14669
rolling_mean_tmp_14_60,14481
rolling_mean_tmp_1_60,14456
rolling_mean_tmp_14_7,14334
rolling_mean_14,14173
rolling_mean_tmp_7_30,14086
tm_dw,13789
rolling_mean_tmp_7_60,13691
price_momentum_m,12797
rolling_mean_7,11821
enc_item_id_store_id_std,10708
enc_item_id_store_id_mean,9679
tm_m,8710
sales_lag_39,7498
item_nunique,7437
sales_lag_36,7418
sales_lag_29,7410
sales_lag_38,7367
sales_lag_37,7282
sales_lag_32,7259
sales_lag_42,7191
sales_lag_31,7176
price_std,7160
sales_lag_41,7133
sales_lag_28,7007
sales_lag_34,6992
release,6961
sales_lag_33,6924
sales_lag_40,6886
price_min,6876
sell_price,6856
sales_lag_35,6822
sales_lag_30,6766
tm_y,6071
price_mean,5664
price_momentum_y,5663
price_max,5152
price_norm,4036
tm_wm,3650
snap_TX,2433
snap_WI,2329
price_nunique,2159
tm_w_end,1821
snap_CA,1557
price_momentum,1319
dept_id,903
event_type_1,603
enc_store_id_dept_id_mean,438
enc_store_id_dept_id_std,192
event_type_2,4
event_name_2,2
