name,imp
item_id,124009
event_name_1,30741
tm_w,22506
tm_d,21526
rolling_mean_180,18841
rolling_std_180,18555
rolling_std_60,17200
rolling_mean_tmp_1_7,16882
rolling_std_7,15519
rolling_std_30,15359
rolling_mean_60,15343
rolling_std_14,15265
rolling_mean_tmp_1_14,14482
rolling_mean_tmp_7_7,14266
rolling_mean_tmp_14_14,13555
rolling_mean_tmp_7_14,13267
rolling_mean_30,12829
tm_dw,12789
rolling_mean_tmp_14_7,12596
rolling_mean_tmp_14_60,12131
rolling_mean_tmp_1_30,11968
rolling_mean_tmp_1_60,11678
rolling_mean_14,11674
rolling_mean_tmp_14_30,11635
price_momentum_m,11546
rolling_mean_7,11348
rolling_mean_tmp_7_30,11177
rolling_mean_tmp_7_60,11143
enc_item_id_store_id_std,10170
item_nunique,9877
enc_item_id_store_id_mean,9783
tm_m,8691
price_min,8557
price_std,8393
release,8126
sales_lag_30,7915
sales_lag_42,7703
sales_lag_28,7621
sales_lag_41,7535
sell_price,7405
sales_lag_34,7405
sales_lag_39,7383
sales_lag_40,7361
sales_lag_38,7314
sales_lag_35,7272
sales_lag_32,7269
sales_lag_36,7155
sales_lag_37,7138
sales_lag_31,7113
sales_lag_29,6923
sales_lag_33,6796
price_momentum_y,6770
price_mean,6584
price_max,6535
tm_y,6372
price_norm,5377
tm_wm,3605
price_nunique,2955
price_momentum,2918
snap_WI,2216
snap_TX,2146
tm_w_end,1725
snap_CA,1498
event_type_1,950
dept_id,923
enc_store_id_dept_id_mean,503
enc_store_id_dept_id_std,161
event_name_2,18
event_type_2,9
