name,imp
item_id,101031
tm_w,23815
tm_d,22711
event_name_1,19971
rolling_mean_180,19349
rolling_std_180,19312
rolling_std_60,19119
rolling_mean_tmp_1_7,18034
rolling_std_30,17857
rolling_std_7,17386
rolling_std_14,17007
rolling_mean_tmp_1_14,16557
rolling_mean_tmp_14_14,15531
rolling_mean_60,15408
rolling_mean_tmp_7_7,15400
rolling_mean_tmp_7_14,15030
rolling_mean_tmp_14_7,14767
rolling_mean_30,14183
tm_dw,14047
rolling_mean_tmp_1_30,13472
rolling_mean_14,13419
rolling_mean_tmp_14_60,13156
rolling_mean_tmp_14_30,12996
rolling_mean_tmp_7_30,12905
rolling_mean_7,12680
rolling_mean_tmp_1_60,12597
price_momentum_m,12596
rolling_mean_tmp_7_60,12229
enc_item_id_store_id_std,9710
tm_m,9451
enc_item_id_store_id_mean,9057
sales_lag_39,8807
sales_lag_42,8538
sales_lag_35,8525
sales_lag_32,8438
sales_lag_37,8436
sales_lag_40,8341
sales_lag_28,8324
sales_lag_34,8315
sales_lag_33,8279
sales_lag_38,8236
sales_lag_30,8231
sales_lag_31,8204
sales_lag_41,8114
sales_lag_36,7846
sales_lag_29,7803
item_nunique,7196
price_std,6880
release,6730
tm_y,6536
sell_price,6458
price_min,6380
price_momentum_y,5385
price_max,4998
price_mean,4733
price_norm,4233
tm_wm,3775
snap_WI,2433
snap_TX,2371
price_nunique,1971
tm_w_end,1748
snap_CA,1547
price_momentum,1011
enc_store_id_dept_id_mean,764
event_type_1,757
dept_id,541
enc_store_id_dept_id_std,307
event_type_2,19
event_name_2,7
