name,imp
item_id,118891
event_name_1,30391
tm_w,25794
tm_d,23830
rolling_mean_180,21585
rolling_std_180,21000
rolling_std_60,19530
rolling_std_30,17953
rolling_mean_60,16396
rolling_std_14,16301
rolling_mean_tmp_1_7,15647
rolling_std_7,15082
rolling_mean_tmp_1_14,14592
tm_dw,13810
rolling_mean_tmp_14_60,13515
rolling_mean_30,13311
rolling_mean_tmp_7_14,13264
rolling_mean_tmp_1_30,13176
rolling_mean_tmp_14_14,13146
rolling_mean_tmp_1_60,13120
rolling_mean_tmp_7_60,12852
rolling_mean_tmp_7_7,12763
rolling_mean_tmp_14_30,12531
rolling_mean_tmp_7_30,12492
price_momentum_m,11628
rolling_mean_tmp_14_7,11540
rolling_mean_14,11404
enc_item_id_store_id_std,10894
enc_item_id_store_id_mean,10716
item_nunique,10603
tm_m,10474
rolling_mean_7,10062
price_std,9122
release,9083
price_min,8129
tm_y,7584
sell_price,7568
price_max,6780
price_mean,6778
sales_lag_42,6385
sales_lag_39,6268
sales_lag_28,6181
sales_lag_41,6137
sales_lag_35,6079
sales_lag_31,6011
sales_lag_37,5968
sales_lag_40,5956
sales_lag_32,5945
sales_lag_36,5905
sales_lag_38,5832
sales_lag_34,5803
sales_lag_33,5726
sales_lag_29,5724
sales_lag_30,5681
price_momentum_y,5125
price_norm,4892
tm_wm,3995
snap_WI,2662
snap_TX,2642
price_nunique,2217
tm_w_end,1722
snap_CA,1680
price_momentum,1192
dept_id,1088
event_type_1,1056
enc_store_id_dept_id_mean,565
enc_store_id_dept_id_std,205
event_type_2,11
event_name_2,10
