name,imp
item_id,133783
event_name_1,33170
tm_d,20192
tm_w,19974
rolling_mean_180,16112
rolling_mean_tmp_1_7,15676
rolling_mean_tmp_7_7,14826
rolling_std_180,14600
rolling_std_7,14483
rolling_std_60,13110
tm_dw,13074
price_momentum_m,12816
rolling_mean_tmp_1_14,12747
rolling_mean_tmp_14_14,12707
rolling_mean_tmp_7_14,12618
rolling_mean_tmp_14_7,12612
rolling_mean_60,12406
rolling_std_30,12063
rolling_std_14,12018
rolling_mean_tmp_1_30,11048
rolling_mean_30,10593
rolling_mean_7,10467
rolling_mean_14,10343
sales_lag_39,10269
sales_lag_28,10157
sales_lag_42,10130
sales_lag_35,10019
rolling_mean_tmp_14_60,9971
sales_lag_40,9692
sales_lag_41,9685
rolling_mean_tmp_7_30,9640
sales_lag_34,9596
sales_lag_32,9591
sales_lag_36,9550
rolling_mean_tmp_14_30,9537
sales_lag_30,9524
sales_lag_37,9440
rolling_mean_tmp_1_60,9388
sales_lag_38,9368
sales_lag_33,9364
sales_lag_31,9272
enc_item_id_store_id_std,9185
sales_lag_29,9066
rolling_mean_tmp_7_60,8982
enc_item_id_store_id_mean,8805
item_nunique,8711
price_momentum_y,8129
price_std,7979
tm_m,7790
price_norm,7649
sell_price,6875
price_min,6486
price_mean,6405
price_max,6197
release,5641
tm_y,5594
tm_wm,3463
price_nunique,3420
snap_WI,3015
dept_id,2719
price_momentum,2557
snap_TX,2160
tm_w_end,1790
snap_CA,1419
enc_store_id_dept_id_mean,967
event_type_1,899
enc_store_id_dept_id_std,417
event_type_2,29
event_name_2,20
